Removed Pin From Net: NetName=NetR38_2 Pin=U7-1
Removed Pin From Net: NetName=NetR38_2 Pin=U7-2
Removed Pin From Net: NetName=NetR37_2 Pin=U7-3
Removed Pin From Net: NetName=+3V3 Pin=U7-4
Removed Pin From Net: NetName=GND Pin=U7-11
Removed Member From Class: ClassName=LPF Member=U1
Removed Member From Class: ClassName=REF_VOLTAGE_RELAY_DRIVER Member=U7
Change component parameters: Designator = "U8" ("U8"); Footprint = "SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR"; UniqueID = "\FHVKCGGU" ("\FHVKCGGU")
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://item.szlcsc.com/datasheet/FRC0805F1000TS/3180731.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "FRC0805F1000TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "FRC0805F1000TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "R0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "100O ±1% 125mW ????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "FOJAN(??)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "FRC0805F1000TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "b83c7c5430874b8eb2319a65d9433429?0819f05c4eef4c71ace90d822a990e87"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "R0805_L2.0-W1.3-H0.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "78.74,51.181,0,0,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55?~+155?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Overload Voltage (Max)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power(Watts)"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "P1.SCHLIB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C2907218"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "FRC0805F1000TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Thick Film Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage-Supply(Max)"; Value = "150V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R10" ("R10"); Footprint = "R0805"; UniqueID = "\BEBBGPFU" ("\BEBBGPFU")
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://item.szlcsc.com/datasheet/0805W8F1003T5E/160838.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "0805W8F1003T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "0805W8F1003T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "R0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Basic Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "100kO ±1% 125mW ????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "UNI-ROYAL(??)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "0805W8F1003T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "b83c7c5430874b8eb2319a65d9433429?0819f05c4eef4c71ace90d822a990e87"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "R0805_L2.0-W1.3-H0.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "78.74,51.181,0,0,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55?~+155?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Overload Voltage (Max)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power(Watts)"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "P1.SCHLIB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C149504"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "0805W8F1003T5E_C149504"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Thick Film Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage-Supply(Max)"; Value = "150V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R11" ("R11"); Footprint = "R0805"; UniqueID = "\PMEFABMS" ("\PMEFABMS")
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "FRC0805F9103TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "FRC0805F9103TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "R0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "910kO ±1% 125mW ????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "FOJAN(??)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "FRC0805F9103TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "b83c7c5430874b8eb2319a65d9433429?0819f05c4eef4c71ace90d822a990e87"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "R0805_L2.0-W1.3-H0.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "78.74,51.181,0,0,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55?~+155?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Overload Voltage (Max)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power(Watts)"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "P1.SCHLIB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C2999461"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "FRC0805F9103TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Thick Film Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "910k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage-Supply(Max)"; Value = "150V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R12" ("R12"); Footprint = "R0805"; UniqueID = "\GMUEAUQS" ("\GMUEAUQS")
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://item.szlcsc.com/datasheet/FRC0805F3571TS/3279527.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "FRC0805F3571TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "FRC0805F3571TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "R0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "3.57kO ±1% 125mW ????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "FOJAN(??)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "FRC0805F3571TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "b83c7c5430874b8eb2319a65d9433429?0819f05c4eef4c71ace90d822a990e87"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "R0805_L2.0-W1.3-H0.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "78.74,51.181,0,0,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55?~+155?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Overload Voltage (Max)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power(Watts)"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "P1.SCHLIB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C2933425"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "FRC0805F3571TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Thick Film Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "3.57k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage-Supply(Max)"; Value = "150V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R13" ("R13"); Footprint = "R0805"; UniqueID = "\BHEPKSFX" ("\BHEPKSFX")
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://item.szlcsc.com/datasheet/FRC0805F6981TS/3279591.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "FRC0805F6981TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "FRC0805F6981TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "R0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "6.98kO ±1% 125mW ????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "FOJAN(??)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "FRC0805F6981TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "b83c7c5430874b8eb2319a65d9433429?0819f05c4eef4c71ace90d822a990e87"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "R0805_L2.0-W1.3-H0.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "78.74,51.181,0,0,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55?~+155?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Overload Voltage (Max)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power(Watts)"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "P1.SCHLIB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C2933489"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "FRC0805F6981TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Thick Film Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "6.98k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage-Supply(Max)"; Value = "150V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R14" ("R14"); Footprint = "R0805"; UniqueID = "\KXKNHQCD" ("\KXKNHQCD")
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://item.szlcsc.com/datasheet/RT0805BRD0710K1L/925214.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "RT0805BRD0710K1L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "RT0805BRD0710K1L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "R0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "???? 10.1kO ±0.1% 125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "YAGEO(??)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RT0805BRD0710K1L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "b83c7c5430874b8eb2319a65d9433429?0819f05c4eef4c71ace90d822a990e87"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "R0805_L2.0-W1.3-H0.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "78.74,51.181,0,0,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55?~+155?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Overload Voltage (Max)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power(Watts)"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "P1.SCHLIB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C865133"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "RT0805BRD0710K1L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±25ppm/?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "0.1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Thin Film Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10.1k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage-Supply(Max)"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "R15" ("R15"); Footprint = "R0805"; UniqueID = "\CLSLQFYX" ("\CLSLQFYX")
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://item.szlcsc.com/datasheet/0805W8F1872T5E/18187.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "0805W8F1872T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "0805W8F1872T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "R0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "18.7kO ±1% 125mW ????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "UNI-ROYAL(??)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "0805W8F1872T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "b83c7c5430874b8eb2319a65d9433429?0819f05c4eef4c71ace90d822a990e87"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "R0805_L2.0-W1.3-H0.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "78.74,51.181,0,0,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55?~+155?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Overload Voltage (Max)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power(Watts)"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "P1.SCHLIB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C17499"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "0805W8F1872T5E"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Thick Film Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "18.7k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage-Supply(Max)"; Value = "150V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R16" ("R16"); Footprint = "R0805"; UniqueID = "\GWKMXYFD" ("\GWKMXYFD")
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://item.szlcsc.com/datasheet/RC0805FR-077K68L/262366.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "RC0805FR-077K68L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "RC0805FR-077K68L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "R0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "???? 7.68kO ±1% 125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "YAGEO(??)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "RC0805FR-077K68L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "b83c7c5430874b8eb2319a65d9433429?0819f05c4eef4c71ace90d822a990e87"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "R0805_L2.0-W1.3-H0.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "78.74,51.181,0,0,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55?~+155?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Overload Voltage (Max)"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power(Watts)"; Value = "125mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reuse Block"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Source"; Value = "P1.SCHLIB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Footprint"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number"; Value = "C273951"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Symbol"; Value = "RC0805FR-077K68L"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Coefficient"; Value = "±100ppm/?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Thick Film Resistor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "7.68k"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage-Supply(Max)"; Value = "150V"; VariantName = "[No Variations]"
Change component parameters: Designator = "R17" ("R17"); Footprint = "R0805"; UniqueID = "\MJMJJHKU" ("\MJMJJHKU")
Change component parameters (AddParameter): Name = "AddInBom"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channel ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ConvertToPcb"; Value = "yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet"; Value = "https://item.szlcsc.com/datasheet/FRC0805F3402TS/3279522.html"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Design Item ID"; Value = "FRC0805F3402TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device"; Value = "FRC0805F3402TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "FootprintName"; Value = "R0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Group ID"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JLCPCB Part Class"; Value = "Extended Part"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part Name"; Value = "34kO ±1% 125mW ????"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "FOJAN(??)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "FRC0805F3402TS"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelId"; Value = "b83c7c5430874b8eb2319a65d9433429?0819f05c4eef4c71ace90d822a990e87"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelName"; Value = "R0805_L2.0-W1.3-H0.6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ModelTransform"; Value = "78.74,51.181,0,0,0,0,0,-0.0005,0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-55?~+155?"; VariantName = "[No Variations]"
